,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
67f.20,177.25,536.3971354166666,1982.9583333333333,1174.875,1142.8020833333333,1233.9713541666667,762.4947916666666,14870.303059895834,6426.858723958333,546.7239583333334,343.0625,350.6002604166667,282.3645833333333
68,186.02083333333334,705.515625,1515.8125,449.9375,828.0208333333334,951.22265625,247.5703125,5845.789713541667,7267.431966145833,324.75,247.87662760416666,292.85546875,282.4114583333333
69,185.00130208333334,442.4609375,1347.3958333333333,596.875,506.6822916666667,756.20703125,378.0,3903.1442057291665,7405.185872395833,444.6770833333333,285.5625,294.421875,284.1611328125
70f.3,196.22916666666666,605.875,1878.3333333333333,424.75,1104.5390625,844.8033854166666,171.38802083333334,4527.062174479167,7342.839518229167,461.7916666666667,258.1432291666667,289.4427083333333,402.08203125
71,239.806640625,1023.0416666666666,2412.1666666666665,690.0,1652.8697916666667,963.51953125,327.4622395833333,7868.80859375,7044.2412109375,533.4309895833334,255.830078125,327.2916666666667,307.25
73f.33,182.60416666666666,488.3932291666667,1399.5,591.5,818.625,764.2708333333334,222.40234375,3918.9850260416665,7363.0302734375,456.9674479166667,299.6536458333333,304.1666666666667,264.3014322916667
74Bf.5,150.16666666666666,356.5208333333333,1350.3958333333333,819.0625,802.5104166666666,754.3229166666666,334.3203125,3776.37890625,7230.905598958333,495.7395833333333,300.5149739583333,334.5618489583333,292.5
75,197.875,460.1458333333333,940.2291666666666,283.5,428.9375,652.576171875,152.18229166666666,2573.6930338541665,7558.631184895833,379.6041666666667,274.4908854166667,257.7447916666667,239.64583333333334
76f.2,176.375,761.8333333333334,1654.3333333333333,541.625,1100.6145833333333,905.9401041666666,327.7291666666667,5945.7705078125,7286.487955729167,314.9036458333333,263.0807291666667,330.8095703125,352.4583333333333
77f.2,191.86328125,925.8776041666666,1469.5208333333333,926.0,5631.760416666667,951.6360677083334,291.1510416666667,9552.087565104166,6261.314127604167,531.7783203125,338.4244791666667,301.9075520833333,1058.5621744791667
78,155.31705729166666,552.75,2207.8958333333335,448.25,2096.5130208333335,803.9140625,483.0677083333333,5036.637369791667,6945.118815104167,616.2447916666666,380.5208333333333,322.3046875,339.6614583333333
79,172.52604166666666,424.0716145833333,1106.9166666666667,282.75,412.3072916666667,779.4973958333334,129.85416666666666,3127.4925130208335,7629.112630208333,335.5553385416667,346.4860026041667,340.76953125,299.0032552083333
80f.1,194.25,672.05859375,1562.4791666666667,535.0,1741.9895833333333,911.71484375,393.0625,7527.1767578125,6986.522135416667,509.4166666666667,240.97721354166666,334.8151041666667,266.669921875
81,159.22395833333334,509.6666666666667,1168.125,219.0,361.9166666666667,788.0104166666666,127.29166666666667,2491.9931640625,7629.198893229167,392.37109375,294.84765625,357.7682291666667,281.2083333333333
82f.2,250.45833333333334,1326.0208333333333,1508.3333333333333,1271.0,3272.8177083333335,1421.2135416666667,457.4166666666667,21043.431640625,7360.196940104167,643.0872395833334,313.0989583333333,350.5052083333333,442.4791666666667
83f.1,207.87890625,608.9791666666666,1326.3333333333333,857.5625,3872.1822916666665,837.796875,234.7890625,7606.533203125,6776.468424479167,652.5240885416666,319.5104166666667,357.4466145833333,756.4703776041666
84,220.25520833333334,559.42578125,1258.8958333333333,619.6875,2760.75,834.087890625,267.2083333333333,5440.7939453125,7137.305013020833,449.0338541666667,282.4270833333333,366.5572916666667,714.6975911458334
85f.2,245.18033854166666,1030.2604166666667,1959.6458333333333,879.0,2205.2291666666665,956.0963541666666,331.3489583333333,8224.930989583334,6927.389973958333,483.0104166666667,281.791015625,300.3509114583333,251.7578125
86f.1,172.04166666666666,647.1875,1230.4791666666667,455.75,1066.453125,850.2369791666666,299.3333333333333,5506.281901041667,7301.786783854167,433.7037760416667,236.236328125,274.375,295.2835286458333
87,235.41666666666666,1265.0208333333333,1360.6041666666667,717.6875,2925.1145833333335,884.9029947916666,306.6041666666667,9730.002604166666,6651.4990234375,537.5305989583334,308.5247395833333,424.3372395833333,603.0901692708334
88f.4,202.64583333333334,836.0143229166666,1523.5208333333333,1647.8125,3212.4791666666665,945.0260416666666,567.65234375,10047.930013020834,6362.437174479167,703.19140625,220.095703125,309.0208333333333,419.7161458333333
88f.1,225.66666666666666,1176.0771484375,1860.9375,839.3125,1880.1979166666667,947.0989583333334,319.8255208333333,8599.807291666666,6931.4111328125,490.388671875,296.6526692708333,296.9860026041667,227.4013671875
89f.1,166.61653645833334,361.3541666666667,1278.9375,327.0,522.7916666666666,722.9036458333334,153.95833333333334,2219.4938151041665,7545.391276041667,279.9479166666667,309.626953125,290.58203125,246.87076822916666
90,301.8092447916667,1257.1666666666667,2298.4583333333335,1673.25,1672.875,1095.2109375,970.0104166666666,12126.096354166666,6322.770833333333,579.0677083333334,306.5052083333333,338.7291666666667,295.5703125
91,170.60611979166666,737.8333333333334,1898.5,769.75,917.046875,851.2161458333334,223.83072916666666,5414.936197916667,7118.3056640625,472.5677083333333,314.1666666666667,237.32877604166666,288.9036458333333
92,254.71158854166666,1205.3333333333333,1975.5,611.4375,1468.125,832.2278645833334,279.8854166666667,6058.514973958333,7016.5888671875,502.111328125,310.0611979166667,347.8492838541667,292.00390625
93f.1,204.40494791666666,817.5520833333334,2189.3333333333335,910.75,2265.5416666666665,857.3763020833334,373.666015625,7404.76171875,6893.640950520833,523.2994791666666,213.44270833333334,276.9694010416667,266.0621744791667
94f.4,213.29166666666666,921.78515625,1582.75,1016.9375,3851.4791666666665,1119.1559244791667,972.3333333333334,14139.213541666666,6325.866861979167,483.1881510416667,330.8502604166667,283.75,306.3997395833333
95f.1,154.826171875,536.9270833333334,3094.5,933.0,1507.6979166666667,785.31640625,352.0,5620.194661458333,7024.442057291667,470.1243489583333,356.1510416666667,250.74088541666666,240.95572916666666
96f.1,126.71614583333333,474.1907552083333,1376.6041666666667,717.375,4212.135416666667,1011.0768229166666,850.625,10443.968098958334,6306.30078125,882.7734375,248.75,312.7083333333333,366.2838541666667
97,196.71354166666666,686.765625,1031.6041666666667,207.4375,1583.4270833333333,883.3645833333334,256.0911458333333,5527.445963541667,7179.348958333333,402.0703125,345.5514322916667,286.9986979166667,256.7317708333333
99,160.17057291666666,429.9557291666667,938.3541666666666,276.75,667.4166666666666,744.53515625,249.02604166666666,3431.2451171875,7384.232747395833,440.8125,316.7317708333333,330.072265625,291.3203125
100f.1,203.625,884.8541666666666,2403.2708333333335,550.75,1439.7916666666667,881.6822916666666,292.6458333333333,6141.669596354167,7136.849934895833,462.734375,262.9401041666667,333.7135416666667,304.625
101,194.20833333333334,850.1380208333334,2907.7708333333335,568.3125,1320.5,855.6770833333334,284.4166666666667,5509.451822916667,7231.882486979167,422.4270833333333,350.0963541666667,402.9322916666667,307.6666666666667
102,225.9375,827.7552083333334,1593.8958333333333,922.5,2381.8854166666665,1010.51953125,460.9537760416667,12604.829752604166,6590.089518229167,454.5,303.8645833333333,344.8294270833333,242.27213541666666
103,192.29166666666666,802.3958333333334,2062.9375,725.5,1837.7864583333333,969.2083333333334,344.5208333333333,7299.76953125,6980.44921875,442.6666666666667,251.54752604166666,316.9375,340.646484375
104f.3,137.83333333333334,544.7682291666666,1277.0,599.0,1847.4895833333333,757.0455729166666,351.8229166666667,4019.9772135416665,7228.16015625,449.0673828125,283.6380208333333,266.5358072916667,279.8951822916667
