,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
69,0.01992820468764656,0.047661567942998556,0.1451404917672079,0.06429493759768853,0.054579445151098895,0.08145806724213955,0.04071788299380316,0.42044383353656345,0.7976811955015285,0.04790028954812784,0.03076058323390983,0.031714908616577095,0.030609628987423112
70f.3,0.02105461323216583,0.06500799044674027,0.2015377353235026,0.04557399454054538,0.11851267146367067,0.0906440609177479,0.01838925656450432,0.4857358606813962,0.7878576294664553,0.04954841882409893,0.02769774718474496,0.03105605746764921,0.04314181117607745
71,0.026165155597551306,0.11162344929792974,0.263190026748493,0.07528547714632496,0.1803436100382199,0.1051290255796516,0.03572920428179047,0.8585608834109726,0.768592841593095,0.058202328370170364,0.02791346304351046,0.03571059317538541,0.03352385920754832
73f.33,0.019316241682490933,0.05166323322674552,0.1480419681988603,0.06257007802045436,0.08659582437784354,0.08084612962032856,0.023526174134183276,0.41455823979783507,0.7788763798410004,0.04833894990524725,0.031697974638893095,0.03217537119958558,0.027958345290629617
74Bf.5,0.015985378523778123,0.03795196763005203,0.14375086716603416,0.08718994959244408,0.08542796523656981,0.08029836194501894,0.03558870195449695,0.4019989762416258,0.7697364910258969,0.052771930447081346,0.03199009285762897,0.035614413730615156,0.031136891575172704
75,0.020843492961130975,0.048470228367287836,0.09904060653072248,0.029862945063705022,0.045182846554719484,0.06874019883804604,0.016030375364057853,0.27110424578775055,0.7962010152781372,0.03998623765474494,0.028913954961854203,0.027149977262778704,0.02524349331773948
76f.2,0.0189852566985239,0.08200482718540304,0.17807480084058425,0.05830128793387957,0.11847172439814181,0.09751668564757847,0.03527723519070158,0.6400112224597202,0.7843279618439173,0.033896677825354445,0.028318385120703112,0.035608814235074164,0.03793911798082062
77f.2,0.02120290143225095,0.10231916941884622,0.1623974383154981,0.102332695439943,0.6223684919108817,0.1051657493374318,0.03217523852472695,1.0556056885696234,0.6919407685463602,0.058767072239852614,0.03739944833259593,0.03336394554898756,0.1169822036773438
78,0.01668019935385701,0.05936231572769535,0.23711589245083012,0.04813958937121563,0.2251539898144417,0.08633595729725774,0.05187882011748093,0.5409072053396328,0.7458676361258633,0.06618130780364452,0.040865848664494026,0.034613754174384774,0.03647777608342428
79,0.018711777443390077,0.045993831397776484,0.12005363430909603,0.030666414304807862,0.04471790000758003,0.08454249368751127,0.014083684082070986,0.33920064063477123,0.8274359989248848,0.03639355980162268,0.03757907447100305,0.036959079143298566,0.03242920496093705
80f.1,0.021099854526923974,0.07300045591605714,0.1697198616114083,0.058112855453818925,0.18921867076319301,0.0990324353830745,0.04269529765760132,0.8176181960786976,0.7588911233278041,0.05533393853414254,0.026175465379833517,0.03636833972372491,0.02896626284823002
81,0.01680819596797242,0.053802061582607995,0.1233110526870843,0.023118348240532015,0.03820509376279701,0.0831849279893458,0.013437319991405119,0.26306285744211005,0.8053629078080059,0.04141996157457048,0.031125072123708564,0.037767171284353716,0.029685261087395467
82f.2,0.027064098861233774,0.1432875418747853,0.16298791861198847,0.13734208478840046,0.35365508040511023,0.15357390302282156,0.049427662169127334,2.2739172089894786,0.7953302849780582,0.06949090651864089,0.033832937594474054,0.03787499295176446,0.04781354148342573
83f.1,0.02216361860975703,0.06492809797188195,0.14141091407347994,0.09143153832631715,0.412844059304141,0.08932416830986807,0.02503272375665776,0.8109928222047108,0.7224930340002564,0.06957076739053138,0.03406553913809885,0.038110218020130725,0.0806533055289136
84,0.02373881826768838,0.06029417899283127,0.13568214632283626,0.06678910821938479,0.2975500240309294,0.0898969018923756,0.028799364667064356,0.5864016550484722,0.7692493989460912,0.04839628148075433,0.03043962163644612,0.03950706545110171,0.07702917157304719
85f.2,0.026241946050212475,0.11027000954744791,0.20974324671273634,0.09408042551591775,0.23602832577942282,0.10233214088079363,0.03546467689903993,0.8803242404312382,0.7414468674228695,0.051697184901730066,0.030160430781072386,0.0321469187191055,0.02694594098629879
86f.1,0.018337211759281075,0.06898104665803663,0.1311516999441049,0.04857651301114468,0.11366884059756095,0.09062325327711669,0.031904705565191385,0.5868918802171826,0.7782673411091524,0.04622669691688557,0.025179455988741866,0.029244499742035815,0.031473053584730744
87,0.025872364100864156,0.13902617881137808,0.1495308165542776,0.07887407707174064,0.3214709927224675,0.0972511113990588,0.03369589225419626,1.0693302799746112,0.7310017892428348,0.05907477821566976,0.03390696380866957,0.046634793192448676,0.06627979516471559
88f.4,0.021604307063041308,0.08912845551422098,0.1624243210869896,0.17567519966600723,0.34248612571336556,0.10075032114355736,0.06051807400972999,1.071221459521336,0.6783067982486202,0.07496805048899019,0.023464657897736923,0.032945069051721156,0.04474642456123973
88f.1,0.024140811837734134,0.12581147923377523,0.19907478004113752,0.08978590163467458,0.20113517337053055,0.10131641541287593,0.03421350540329166,0.919968964559375,0.7414913970186211,0.052459589313548244,0.03173457726748343,0.03177023577832204,0.02432638234970573
89f.1,0.017950413266035973,0.038930449311631254,0.1377861834990909,0.03522930714300168,0.05632289968440904,0.07788194059283855,0.01658668321781234,0.2391169092180345,0.8129018555895943,0.030160156392334676,0.03335762394921226,0.03130582149585187,0.026596593634783162
90,0.03253722657902274,0.1355316889287598,0.24779048642374313,0.18038849144906324,0.18034806372798548,0.11807168614022967,0.10457416151344823,1.307281176449491,0.6816405751699605,0.06242770079373444,0.03304348552369989,0.03651746205575874,0.031864624406994294
91,0.01822202969967421,0.07880620536840989,0.2027742230294911,0.08221514784142785,0.09794757311548478,0.09091635112010121,0.02390682233178577,0.5783563235642974,0.7602891231586512,0.050473821377992535,0.03355538674485039,0.025348516283586548,0.030857104195017877
92,0.02710428276792383,0.12826151995407395,0.21021623285614469,0.06506407890507668,0.15622561724218045,0.08855874794766999,0.029783071588478403,0.6446966309937051,0.7466468636600964,0.053430499555977264,0.032994126540574625,0.037015219465214216,0.03107262017269241
93f.1,0.021897870801265,0.08758422962166774,0.23454294508458481,0.09756850817712498,0.2427071321765402,0.09185059208420628,0.040030783091980805,0.7932709901789968,0.7385147004678073,0.05606099315087363,0.022866084692142227,0.029671689563927822,0.028503200050830877
94f.4,0.02350851295251498,0.10159702263007227,0.1744470351658984,0.11208449333376769,0.4245011035401833,0.12335077107170478,0.10716832550495986,1.5583913327570824,0.697222378092858,0.0532558776664104,0.03646554857908887,0.031274267084709324,0.03377066886489709
95f.1,0.01649524251328252,0.05720442703113102,0.3296892724220032,0.09940219459354628,0.1606307413727592,0.0836679252214008,0.037502221325753794,0.5987777957040635,0.7483868770525154,0.05008723688994695,0.0379444749715372,0.02671403460315712,0.025671520127604323
96f.1,0.013539345601542171,0.050666254671810206,0.14708717224983694,0.0766499642727558,0.4500575420101194,0.10803136763000376,0.09088743803382181,1.1159153603777072,0.6738145733766364,0.09432242891836602,0.026578398484541566,0.033412207810131406,0.03913663611857438
97,0.021069572712033177,0.07355801816929182,0.11049294733583065,0.02221819327953765,0.16959753651849144,0.09461531810207047,0.027429382707096175,0.592033083507895,0.7689649305332801,0.04306490347738043,0.037011285378378146,0.030739825447607783,0.027497998700201105
99,0.01698046310140578,0.04558170244012972,0.09947949871805517,0.02933961637109844,0.07075609380190527,0.07893180075581151,0.026400464422450504,0.3637630186575825,0.782838504077673,0.046732681631742844,0.033578278767077384,0.03499256964110859,0.030884286214484236
100f.1,0.021719975112528517,0.09438433629572578,0.25634859515612357,0.05874659935285491,0.15357760180344238,0.09404600335006559,0.031215519787772466,0.655110672963465,0.7612631207748963,0.049358276776974526,0.028046912307357424,0.035596070323947196,0.03249329610143155
101,0.020817478799151152,0.09112755318627025,0.3116882609347697,0.06091825833104958,0.1415463501614886,0.09172129349690362,0.030487043613603465,0.5905662983145884,0.7751961914643619,0.04528058451737699,0.03752734656352557,0.043190908934207524,0.03297924553806739
102,0.024252248542779076,0.08885167378181963,0.17108960620215755,0.09902162890495689,0.25567281715262363,0.1084696910836298,0.04947901761900978,1.3530089692927147,0.7073836300536961,0.04878626594829583,0.032616982122702094,0.03701416971724089,0.026005616788336728
